MP,compound,solvent,set
138,COc1cc(ccc1Cc3cn(C)c4ccc(NC(=O)OC2CCCC2)cc34)C(=O)NS(=O)(=O)c5ccccc5C,,train
217,C(C(CO)(CO)COCC(CO)(CO)CO)O,,train
178,C[C@]12CC[C@H](C1(C)C)CC2=O,,train
-23.000002,ClC(Cl)(Cl)Cl,,train
42,CN1[C@@H]2CC[C@H]1CC(=O)C2,,train
45,O=C(O)CCCCCCCCCCC,,train
57,Cc1ccc2c(c1)ccc(n2)C,,train
113.5,O=C1C(=CC(=CC1=O)C(C)(C)C)C(C)(C)C,,train
128.5,O=C1NC(=O)NC(=O)C1(CCCC)CC,,train
-31.000002,CCc1ccccc1CC,,train
5.0000024,Cc2ccc(Cc1ccccc1)cc2,,train
6.9999986,Cc1cccc(c1)c2cc(C)ccc2,,train
-119,BrCC,,train
-168,C=CC(C)C,,train
-89,CC[N+](=O)[O-],,train
7.9999986,Cc1cccc(C)c1N,,train
-20.000002,CCCCCCCCCCCCN(C)C,,train
-5.0000014,C(CCCCC(=O)Cl)CCCC(=O)Cl,,train
79,COC(=O)c1ccc(cc1)Br,,train
153,Cc1cc(nc(n1)N)C,,train
151.5,Nc1cc(Cl)c(O)cc1,,train
114,Clc1ccccc1OC(C)C(=O)O,,train
43,CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,,train
40,CCCCCCCCCCCCCCO,,train
55,c1cnccn1,,train
-130.99998,FC(F)(F)C(F)C(F)(F)F,,train
5.0000024,C=Cc1ccc(cc1)Br,,train
112.5,O=S(=O)(c1ccc(cc1)C)C[N+]#[C-],,train
237,c1ccc(cc1)[Si](c2ccccc2)(c3ccccc3)c4ccccc4,,train
69,Clc1ccc(OC)c(Cl)c1Cl,,train
217,c1ccc2c(c1)ccc(c2c3c4ccccc4ccc3O)O,,train
165,CN(C)c1ccc(cc1)[N+](=O)[O-],,train
27.999998,OCCNCCO,,train
43,COc1cc(cc(OC)c1)C(=O)OC,,train
136,CC(C)CC(=O)N,,train
-70,Cc1ccccn1,,train
206,c1cc(c(c(c1)O)O)C(=O)O,,train
271,c1cc2cccc3c2c(c1)C(=O)OC3=O,,train
76,Cc1ccc(nc1)N,,train
49,O=C1CCC(CC1)C(C)(C)C,,train
-118,CC(C)CBr,,train
203,NC(=O)CN2Cc1ccccc1OC2=O,,train
208,C1=CC(=C(C=C1C(=O)O)Cl)Cl,,train
194,Cc1cc(c(c(c1NC(=O)CN(CC(=O)O)CC(=O)O)C)Br)C,,train
81,COc1ccccc1OCC(CO)O,,train
-132.6,CC1CC(C)C(C)C1,,train
119,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,,train
59,O=C(CC(C)=O)c1ccccc1,,train
54,Ic1cc(ccc1)C(=O)OC,,train
-93,CCCC(=O)OCC,,train
-97,CC[Si](CC)(Cl)Cl,,train
5.9999986,C=C(c1ccccc1)c2ccccc2,,train
42,c1ccc(cc1)OCCCCBr,,train
41,C1CNCCNC1,,train
171,O=C(O)[C@H](O)[C@@H](O)C(O)=O,,train
187,c1ccc2cc(ccc2c1)c1ccc2ccccc2c1,,train
98,CN3[C@H]1CC[C@@H]3[C@H]([C@H](C1)OC(=O)c2ccccc2)C(=O)OC,,train
67,ClC1=CC(=NCl)C=C(Cl)C1=O,,train
-135,CCC(C)(C)CC,,train
51,CCCCCCCCCCCCCCCCCCCCCCCC,,train
111,CC(N)(CO)CO,,train
-62,O=C(OC)CC(=O)OC,,train
-35,NCCNCCN,,train
78,CCCCCCCCCCCCCC(=O)CCCCCCCCCCCCC,,train
38,Cc1ccc[n+](c1)[O-],,train
101,c1cc(c(cc1Cl)C=O)O,,train
131,CN1c2ccccc2C(=O)C1=O,,train
45,OCCCCCCO,,train
93.5,N#Cc1ccccc1O,,train
230,COc1ccc(cc1O)[C@@H]2CC(=O)c3c(cc(cc3O2)O)O,,train
118,c1cn(cn1)C(=O)n2ccnc2,,train
204.5,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,,train
31,Cc1cc(S)c(S)cc1,,train
236.6,C1=CC(=CN=C1)C(=O)O,,train
81,OCc1ccccc1Br,,train
58,c1cc(c(c(c1)Br)Cl)Cl,,train
81,O=[N+]([O-])c1cc(ccc1)C(C)=O,,train
140,c1ccc(cc1)c2nnc(o2)c3ccccc3,,train
-81,CC(C)COC(=O)C(C)C,,train
36,Cc1c(cccc1Cl)[N+]([O-])=O,,train
212.5,O=C(O)C(C)c1ccc(cc1)N2Cc3ccccc3C2=O,,train
50,COc1ccc(N)cc1Cl,,train
27.000002,CC(C)c1ccc(cc1)CO,,train
181,Oc2cccc1Cc3cccc(O)c3C(=O)c12,,train
45,CCOC(=O)c1ccc(cc1)C(=O)OCC,,train
175,N#Cc2c3ccccc3cc1ccccc12,,train
140,Cc1ccc[nH]c1=O,,train
79,CC1=CC(=C(C=C1C)C)C,,train
-138,CC=C(/C)CC,,train
-44,CCOCCOCCOCC,,train
253,COc1ccc(cc1O)C(=O)O,,train
202,c1ccc(c(c1)/C=C/C(=O)O)C(F)(F)F,,train
45,CC(C)(C)c1cccc(c1)O,,train
47,COc1cc(cc(OC)c1)C=O,,train
181,N#Cc1ccc(cc1)C(c2ccc(C#N)cc2)n3cncn3,,train
-49,C1C=CCC=C1,,train
81,ICC(=O)O,,train
39,Cc1ccccc1CO,,train
194,O=C(C)Oc1ccc(cc1)C(=O)O,,train
5.0000024,c1ccc(c(c1)Br)Br,,train
74,Clc1cc(Cl)cc(Cl)c1N,,train
-51,CC(=O)OCc1ccccc1,,train
96.5,O=C(O)CCCC(=O)O,,train
136,NC1=NCC(O1)c2ccccc2,,train
79,c1cc(oc1)C(=O)NN,,train
225,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,,train
-30.000002,CCOc1ccccc1,,train
94,Clc1cc(C)c(OC(C)C(=O)O)cc1,,train
-65,CC(Cl)C(Cl)(Cl)Cl,,train
178,C[C@@]12CC[C@@H](C1(C)C)CC2=O,,train
54,CCC(C)(C#CC(C)(CC)O)O,,train
10.999999,Cc1cccc(C)c1I,,train
79,CC(C)(C(=O)O)O,,train
38,COc1ccc(cc1)C(C)=O,,train
237,OC1CCC2(C)C3CCC4(C)C(CCC4C(C)CCCC(C)C)C3CC(O)C2(O)C1,,train
169,Cc1cc(c(c(c1)C)CC(=O)O)C,,train
40,C(CCCCCCBr)CCCCCBr,,train
17.999998,C(CCCO)CCCO,,train
72,CCS(=O)(=O)CC,,train
229.5,O=C(O)C2=CN(CC)c1nc(C)ccc1C2=O,,train
170.5,O=[N+]([O-])c1cc(cc(C(=O)O)c1O)[N+]([O-])=O,,train
64,c1cc[n+](cc1)[O-],,train
187,OC[C@@H](O)[C@H]1O[C@@H]2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,,train
70.5,O=Cc1c(Cl)cccc1Cl,,train
50,c1ccc2c(c1)c(ccn2)C=O,,train
-46,Cc1cc(C)cc(C)n1,,train
35,Fc1c(F)c(F)c(F)c(O)c1F,,train
-132,CCCCC#C,,train
173,CC(=O)c1ccc(cc1)OCC(=O)O,,train
-53,COCc1ccccc1,,train
44,CC(CC)(CO)CO,,train
-111,CC(C)C1CCCC1,,train
90,CCCC(C)C1(C=C)C(=O)NC(=O)NC1=O,,train
102,O[C@@H](CO)[C@H](O)[C@H](O)CO,,train
189,NC(=O)c1cnccn1,,train
300,O=C(O)c4ccccc4C=2c3cc(Br)c(O)c(Br)c3OC=1C=2C=C(Br)C(=O)C=1Br,,train
-5.0000014,C1CNCCO1,,train
204,Cc1cc2c(cc1C)nc[nH]2,,train
-36,C=C(C)C#N,,train
127,c1ccc(cc1)C(=O)CCCC(=O)O,,train
-3.9999936,OCCOCCOCCO,,train
71,O=[N+]([O-])c1ccc(CCl)cc1,,train
15.999999,CC(C)c1ccccc1O,,train
201,c1cc2c(cc(c(c2nc1)O)Br)Br,,train
72,COC(=O)NN,,train
39,Cc1ccc(Cl)cc1[N+]([O-])=O,,train
-22.000002,c1cc(ccc1F)Cl,,train
56,NCCCCCCO,,train
17.000002,CCCCCCCC(=O)O,,train
-80,CCCCOP(=O)(OCCCC)OCCCC,,train
-56.999992,CCCCCCCC,,train
178,Cc1ccc(c(c1)O)C(=O)O,,train
-95,CCc1ccccc1,,train
113,Nc3ccc(OCCCCCN2C(=O)c1ccccc1C2=O)cc3,,train
75,COC(=O)C(c1ccccc1)(c2ccccc2)O,,train
57,Clc1ccc(Cl)c(O)c1,,train
139,Cc1ccc(cc1)S(=O)(N)=O,,train
-133,BrC(=C)CC,,train
83,c1c(cc(c(c1C=O)O)Br)Br,,train
-89.899994,CC1CCC(CC1)C(C)C,,train
1.4999987,FC(F)(F)c1ccc(C=O)cc1,,train
70,c1ccc(cc1)CSSCc2ccccc2,,train
155,COc1ccc2C[C@H]4N(C)CC[C@@]35[C@@H](Oc1c23)[C@@H](O)C=C[C@@H]45,,train
-20.000002,CC(C)(C)Br,,train
-20.000002,C1C2C=CC1C=C2,,train
-141,C=CC=C/C,,train
5.0000024,Cc1cccc(c1)c2ccccc2,,train
170,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34,,train
68,Cc1ccc(cc1)S(=O)(Cl)=O,,train
-31.000002,c1ccc2CCCCc2c1,,train
-85,CC1OC1C,,train
-5.0000014,c1cc(cc(c1)[N+](=O)[O-])C(F)(F)F,,train
130,Cc1cc(ccc1N)c2ccc(c(c2)C)N,,train
156,COc2ccc1[nH]c(nc1c2)S(=O)Cc3ncc(C)c(OC)c3C,,train
170,Cc1cc(cc(c1)C(=O)O)C,,train
86,c1nncn1N,,train
17.000002,CC(C)(C)C#N,,train
25.999998,CC1(O)CCCCC1,,train
126,c1cc(ccc1C#N)I,,train
130,CC(=O)NNc1ccccc1,,train
209,c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)Cl,,train
17.000002,CCCCCCCCCCCCCCCCBr,,train
13.000003,CCC(=O)CCCCCCCC,,train
101,C1C2=CC=CC=C2OC3=CC=CC=C31,,train
146.3,C/C(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,,train
10.999999,CC/C=C/CC(=O)O,,train
7.9999986,O=C(CCCCC(=O)OC)OC,,train
78,c1cc(cc(c1)C(F)(F)F)CC(=O)O,,train
5.0000024,Brc1ccc(Br)c(C)c1,,train
203,O=C1NC(=O)NC(=O)C1(C(C)C)CC,,train
216,c1cc2c(cccc2[N+](=O)[O-])c(c1)[N+](=O)[O-],,train
111.5,N#Cc1ccc(O)cc1,,train
-3.9999936,CCCCCCC(CCCC)O,,train
52,c1cc(ccc1S(=O)(=O)Cl)Cl,,train
23.999998,C1CNCCC1CN,,train
83,C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,,train
-10.000001,C[C@H]1CC[C@H](CC1)O,,train
114,CN1CCC(CC1)N(Cc2ccccc2)c3ccccc3,,train
-95,CCSCCCC,,train
151,c1ccc(cc1)OC(=O)N,,train
-164.99998,CCCC=C,,train
-81,CCCCCCS,,train
164,c1ccc2cc(c(cc2c1)O)O,,train
69,CCCCOC(=O)C1=CC=C(C=C1)O,,train
150,c1cncnc1N,,train
144,OC(=O)c1c(Cl)cccc1Cl,,train
78,Clc1cc(CC(=O)O)ccc1,,train
92,CCOC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],,train
29.999998,ClCc1ccc(Cl)cc1,,train
97,Nc1cc(N)c(C)cc1,,train
-85,CCCCCCBr,,train
-16.000002,CCCCCCC(=O)C,,train
76,O=C(c1ccc(Cl)cc1)c2ccccc2,,train
100,O=C(O)COc1ccccc1,,train
91,c1ccc2cnncc2c1,,train
-105,CC=CC,,train
215,c1ccc(cc1)c2c(c(=O)c3c(cc(cc3o2)O)O)O,,train
27.000002,CCCCCCCCCCCCCCCCC#C,,train
177,COc1cc2c(cc1)nccc2[C@@H](O)[C@@H]4C[C@@H]3CC[N@]4C[C@@H]3C=C,,train
27.000002,c1ccccc1Oc2ccccc2,,train
5.0000024,c1cc(ccc1)C2CCCCC2,,train
53,c1cc(ccc1CC#N)I,,train
15.999999,c1cc(cc(c1)C(F)(F)F)C#N,,train
-115,CC1CC=CCC1,,train
84,c1cc(oc1C=O)Br,,train
14.999999,Cc1cccc(C)c1[N+](=O)[O-],,train
130,O=C(O)C(O)CC(=O)O,,train
-36,Cc1cccc(c1Cl)C,,train
23.499998,NCCCNCCCCN,,train
104,c1cc(c(cc1Cl)NN)Cl,,train
-3.0000012,BrCc1ccccc1,,train
108,c1cc(c2cccnc2c1)N,,train
12.000003,CC(=O)c1cccnc1,,train
47,COC(C(=O)c1ccccc1)c2ccccc2,,train
46,Cc1ccc(cc1)c2ccccc2,,train
60,c1ccc(cc1)C(c2ccc(cc2)Cl)O,,train
45,COc1c(cccc1OC)OC,,train
-6.0000014,Cc1ccc(C)c(C)c1C,,train
44,C1=CC(=C(C=C1Br)Br)Br,,train
53,CC(=O)c1ccc(cc1)OC(=O)C,,train
43,CC(C)(O)C(C)(C)O,,train
34,CCCCCCCCCCCCCO,,train
234,Nc3ncnc2c3ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,train
-86,CCCCCI,,train
38.5,Ic1ccccc1O,,train
125,c1cc(c(cc1[N+](=O)[O-])C=O)O,,train
158,c1ccc2c(c1)ccc(n2)C(=O)O,,train
9.999999,C(CBr)Br,,train
17.999998,O=C(OCc1ccccc1)c2ccccc2,,train
278,C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2,,train
-94,C=C(C)CC(C)(C)C,,train
165,CC(C)(C)c1ccc(cc1)C(=O)O,,train
-88,CCC(=O)OC,,train
25.999998,c1cc(ccc1N=C=S)F,,train
-10.000001,CC(C)(C)C(C)(C)CC,,train
9.999999,c1ccc(cc1)Cc2ccccn2,,train
64,c1ccc2c(c1)cc(c3c2cccc3)Br,,train
59,O=C(O)CCCc1ccc(OC)cc1,,train
216,c1cc(c(cc1C(=O)O)N)Cl,,train
-70,CC1(C)CCCC1,,train
64,COc1ccc(cc1OC)CC#N,,train
196,NCCC(=O)O,,train
-22.000002,C=CCCC(=O)O,,train
112,c1ccc(cc1)c2ccc(cc2)I,,train
198,O=[N+]([O-])c1ccc(cc1)C=Cc1ccc(N)cc1[N+](=O)[O-],,train
77,CC#CC(=O)O,,train
131,c1cc(ccc1N=C=S)N=C=S,,train
37,COc1ccccc1C(=O)c2ccccc2,,train
109,c1cc2c(cc[nH]2)cc1O,,train
215.5,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,,train
253,COC1=CC(=O)C=C(OC)C1=O,,train
103.5,[O-][N+](=O)c1ccc2CCc3cccc1c23,,train
348,c1cnc2c(n1)c(=O)[nH]c(=O)[nH]2,,train
149.5,O=C2c1ccccc1C(=O)C2c3ccccc3,,train
142,BrCc1ccc(cc1)CBr,,train
178,O=C(NC)NC(=O)C,,train
96,c1cc(c(cc1Cl)C#N)N,,train
74,COc1ccc(c(c1)OC)[N+](=O)[O-],,train
55,C1=CC(=CC=C1Cl)Cl,,train
-115,C=COCC,,train
210,O=C2c3ccccc3c1ccccc1C2=O,,train
43,Cc1cc(ccc1Cl)[N+](=O)[O-],,train
9.999999,COc1ccc(Br)cc1,,train
114,CC1CNC(C)CN1,,train
25.999998,c1ccc2cnccc2c1,,train
18.999998,Cc1ccccc1CBr,,train
-43,CCc1ccc(Br)cc1,,train
-82,CC[Si](CC)(CC)CC,,train
100,OC1CCCCC1O,,train
231,c1c(cc(c(c1C(=O)O)O)I)I,,train
155,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,,train
232,Cc2nc(oc2c1ccccc1)c3ccc(cc3)c4nc(C)c(o4)c5ccccc5,,train
157,Cc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C,,train
105,C1CSC(=S)N1,,train
-27.000002,Cc1cccc(c1)I,,train
79,Nc1ccc(Br)c(C)c1,,train
71.5,CC(C)(c1ccc(O)cc1)c2ccccc2,,train
-5.0000014,CCCC(=O)O,,train
112,c1cc(c(cc1Br)[N+](=O)[O-])N,,train
-51,c1ccc2c(c1)CCC2,,train
39.85,OC1CCCCCCCCC1,,train
87,c1ccc(cc1)COC(=O)N,,train
194,CC(=O)Nc1ccc2c3ccccc3Cc2c1,,train
106,CCCCCCCCCCCCCC(=O)N,,train
87,CCCCCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCCCCC,,train
-7.0000014,CC(C)c1cc(cc(c1)C(C)C)C(C)C,,train
101,CCN(CC)CCNc2ccc(CO)c3sc1ccccc1c(=O)c23,,train
76,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,train
74,c1ccc2c(c1)C(=O)N(C2=O)CCCBr,,train
-37.999992,COc1c(c(c(c(c1F)F)F)F)F,,train
49,CC(C)c1ccc(C)cc1O,,train
-112,CC(Cl)=O,,train
-7.0000014,O=CC=Cc1ccccc1,,train
156,Clc1c(CC(=O)O)c(Cl)ccc1Cl,,train
-92,CC(C)C(=O)C,,train
90,c1ccc(cc1)c2ccc(cc2)Br,,train
173,OC(=O)c1cc(N)ccc1,,train
-9.000001,CCCCC(=O)c1ccccc1,,train
12.000003,Cc1ccc(cc1)CN,,train
65,Cn1c2ccccc2nn1,,train
-73,CC(C)OC(=O)C,,train
13.000003,O=C(Cl)c1ccc(Cl)cc1,,train
209,OC(=O)c1ccc(cc1)C(C)=O,,train
184,O=C(C)Nc1ccccc1C(=O)O,,train
93,c1ccc(cc1)CN(Cc2ccccc2)Cc3ccccc3,,train
169,CNS(=O)(=O)Cc2ccc1[nH]cc(CCN(C)C)c1c2,,train
-26.000002,CCCCCCCCCCC,,train
316.5,CC1=CNC(=O)NC1=O,,train
-1.29E-06,Nc1cccc(OC)c1,,train
152,COc1cccc(c1O)C(=O)O,,train
80,COC(=O)c1ccc(c(c1)[N+](=O)[O-])Cl,,train
55,c1cc(c(c(c1)Br)O)Br,,train
115.5,O[C@@H]1CC(=O)[C@H](CCCCCCC(=O)O)[C@H]1/C=C/[C@@H](O)CCCCC,,train
-115,CC(C)C(CC)CC,,train
8.999999,BrC(Br)Br,,train
147,[O-][N+](=O)c2cc(cc1ccccc12)[N+]([O-])=O,,train
113,CCc1ccc(cc1)C(=O)O,,train
99,CC(C)c2cc3ccc1c(cccc1C)c3cc2,,train
39,CCCCCCCCCCCCCCCCCCCCC,,train
108,c1cc(ccc1N=C=S)[N+](=O)[O-],,train
41,Oc1c(cccc1OC)C=O,,train
-66,CCOCOCC,,train
71,[O-][N+](=O)C(COC(C)=O)C(OC(C)=O)c1ccccc1,,train
143,Cc1[nH]ccn1,,train
36,c1cc2c(cc1C=O)OCO2,,train
109,O=[N+]([O-])c1ccccc1C#N,,train
-35,ClCC(Cl)Cl,,train
177,c1cc(ccc1N)S(=O)(=O)c2ccc(cc2)N,,train
36,c1cc(cc(c1)I)I,,train
14.000003,C1CN(CCN1CCCN)CCCN,,train
33,C#CC1(O)CCCCC1,,train
-2.0000012,CCCCCCCCCCC=O,,train
247,C1=CC=C2C(=C1)C3=CC=CC=C3N2,,train
-27.000002,Cc1ccccc1Br,,train
156,CC(=O)Nc1ccc(cc1F)Cl,,train
107,c1ccc2c(c1)CCc3ccccc3N2,,train
222,CC1=NNC(=O)C1,,train
34,c1ccc2c(c1)CCc1ccccc12,,train
17.500002,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,,train
184,c1cc(ccc1C(=O)N)C(F)(F)F,,train
57,O=C(c1ccccc1)c2cccs2,,train
52,O=C(O)CCCCCCCCCCCCCC,,train
-91,C1CCC1,,train
121,c1ccc(c(c1)C(=O)NN)[N+](=O)[O-],,train
197,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)O,,train
73,O=C1C=CC(=O)C2C3C=CC(C3)C12,,train
122,C1=C(C=C(C=C1Br)Br)Br,,train
120,c1ccc(cc1)c2c(c2=O)c3ccccc3,,train
149,CC1C(OCCN1Cc3c(C)n(C)n(c2ccccc2)c3=O)c4ccccc4,,train
52,O=C(C)Oc1ccccc1C(=O)OC,,train
220,c1c(nc(nc1Cl)N)Cl,,train
69,O=C1CCCCCN1,,train
34,C(c1c(c(c(c(c1F)F)F)F)F)O,,train
152,CC(=O)Nc1ccc(cc1)F,,train
-84,Cc1cc(C)cc(CC)c1,,train
76,Cc1ccc2c(c1)ccc(=O)o2,,train
68,c1cc(nnc1Cl)Cl,,train
181,O=[N+]([O-])c1cccc(C(=O)O)c1Cl,,train
33,c1cc(cc(c1)[N+](=O)[O-])C(=O)Cl,,train
1.9999987,CCOC(=O)c1ccccn1,,train
135.5,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n2cncn2,,train
-32,COC(=O)CCl,,train
-124,CC(C)CC=CC,,train
180,NS(=O)(=O)c1ccc(cc1)N2CCCCS2(=O)=O,,train
61,CCOc1ccc(cc1OC)C=O,,train
188,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2,,train
129,Sc1ccccn1,,train
319.99997,c1ccc2c(c1)C(=O)OC23c4ccc(cc4Oc5c3ccc(c5)O)O,,train
27.000002,Fc1ccc(cc1[N+](=O)[O-])[N+]([O-])=O,,train
136,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,,train
187,O=C(O)C1CCC(C(=O)O)(C)C1(C)C,,train
-117,CC(C)CCO,,train
66,CN1C(=O)CCC1=O,,train
148,COc1cc2c(ccc(=O)o2)c(c1)OC,,train
145,c1cc(ccc1C(=O)c2ccc(cc2)Cl)Cl,,train
63,c1cc2cccc(c2c(c1)N)N,,train
-99,CC(=O)OC(C)CC,,train
106,COC1=CC=CC(=C1)C(=O)O,,train
-54,ClS(Cl)(=O)=O,,train
144,NC(=O)NO,,train
36.5,ON=Cc1ccccc1,,train
-132,CC[SiH2]CC,,train
-39.999992,CCCCCC(=O)OC(=O)CCCCC,,train
-31.000002,CCCCCCCCCCCl,,train
87,CN1CCC(C1)CN3c2ccccc2Sc4ccccc34,,train
60,C(CBr)C(=O)O,,train
14.999999,Fc1ccccc1O,,train
7.9999986,CN1CCN(C1=O)C,,train
136,O=C(C#Cc1ccccc1)O,,train
120,Cc1ccc(cc1)c2ccc(cc2)C,,train
34,CC(O)(C)c1ccccc1,,train
47,Clc1ccc(Cl)c(Cl)c1Cl,,train
33,N#CCc1cccc(c1)CC#N,,train
-71,C=CC(=O)OCC,,train
14.000003,CCC(c1ccccc1)c2ccccc2,,train
146,C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],,train
182,Nc1ccc(cc1)S(=O)(=O)NC(N)=S,,train
94,c1ccc(c(c1)CBr)CBr,,train
72,COc1cc(ccc1C=O)OC,,train
56,Oc1c(Cl)ccc(Cl)c1Cl,,train
-109,CC=CCCCC,,train
51.5,Nc2ccccc2c1ccccc1,,train
40,CCCCCCCCCCCCCCCCCC(=O)OC,,train
51,COc1cc(ccc1OC)C(C)=O,,train
61,Clc1cc(Cl)c(N)cc1,,train
-45,CCCCCCCC#N,,train
206,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,,train
218,c1ccc2c(c1)c(=O)[nH]cn2,,train
18.4,CS(C)=O,,train
33,CCCCS(=O)CCCC,,train
287,c1ccc(cc1)c2cc(=O)c3c(cc(cc3o2)O)O,,train
182,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,,train
166,OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,,train
227,c1cc(ccc1C#N)C(=O)N,,train
-84,C=CC#N,,train
82,N#Cc1cc(O)ccc1,,train
116,c1ccc(c(c1)C(=O)N)F,,train
-117,CN(C)C,,train
6.9999986,c1ccc2c(c1)CCCC2=O,,train
70,CC(=O)c1c(cccc1OC)OC,,train
-41.999992,c1ccccn1,,train
-84,CCc1cccc(CC)c1,,train
70,c1ccc(cc1)C(=O)c2ccncc2,,train
222,C1C(=O)NC(=O)N1,,train
22.000002,C1COCCN1C=O,,train
39,c1ccc(cc1)COc2ccccc2,,train
131,Cc1cc(cc(C)c1CC2=NCCN2)C(C)(C)C,,train
-63,CC(C)c1cccc(c1)C(C)C,,train
142,CCCc1ccc(cc1)C(=O)O,,train
-91,CCCCCCC,,train
-136,CCCC(=C)C,,train
-72,C(CCCl)CCCl,,train
60,C1CC(CNC1)CO,,train
70,CCN(CC)C(=S)SSC(=S)N(CC)CC,,train
-41.999992,CC(C)CC(=O)CC(C)C,,train
-23.000002,CC(=C)c1ccccc1,,train
68,Oc1cc(Cl)cc(Cl)c1,,train
138.5,O=[N+]([O-])c1cc(N)ccc1N,,train
-52,BrCBr,,train
114.5,Oc1ccc(cc1OC)C(C)=O,,train
29.999998,CCOC(=O)C(c1ccccc1)(c2ccccc2)O,,train
140,c1ccc2c(c1)[nH]c(=O)o2,,train
133,COc1cc(ccc1)C(N)=O,,train
148,c1ccc(cc1)c2[nH]ccn2,,train
-39.999992,Fc1ccccc1,,train
13.000003,C=CC(=O)O,,train
161,OC(=O)CCc2nc(c1ccccc1)c(o2)c3ccccc3,,train
59,Oc1cc(C)c(Cl)cc1C(C)C,,train
107,O=C2C(N)=C(C)N(C)N2c1ccccc1,,train
50,c1ccc2c(c1)ccc3c2nccc3,,train
-67,CC(=CCCC(=O)C)C,,train
-91.2,CC(CC)CC(O)CC,,train
75,O=[N+]([O-])c1ccc(cc1)C(Cl)=O,,train
110,CCN1CCNC(=O)C1=O,,train
19.999998,CCOc1ccccc1C(=O)O,,train
239.75,O=C(O)C2=CN(CC)c1c(F)c(c(F)cc1C2=O)N3CC(C)NCC3,,train
104,c1ccc(c(c1)C=O)C#N,,train
-38.999992,CC(C)(C)C(C)C(C)(C)C,,train
87,CC(=O)Nc1ccccc1Cl,,train
73,O=Cc1ccc(Cl)cc1Cl,,train
-134,C=CCCl,,train
11.499999,Clc1cc(CC#N)ccc1,,train
17.999998,c1ccc(cc1)Oc2ccc(cc2)Br,,train
143,c1cc2c(cc1[N+](=O)[O-])C(=O)OC2,,train
137,c1ccc(cc1)C(=O)c2ccc(cc2)[N+](=O)[O-],,train
-111,CC(F)(F)F,,train
152,OC(=O)CCCCC(=O)O,,train
72,Cc1ccc2cccc(c2n1)O,,train
143,COc1cc(ccc1O)CC(=O)O,,train
-93,CC(C)[N+]([O-])=O,,train
-80,CCCCCC#N,,train
23.999998,Nc1ccccc1C(=O)OC,,train
-119,CC=C(C)CCC,,train
127,c1ccc(cc1)C(=O)/C=N/O,,train
-43.5,FC(F)(F)CO,,train
119,c1cc(c(cc1[N+](=O)[O-])F)O,,train
117,COc1ccc2c(c1)no[n+]2[O-],,train
-117,CCC#CC(C)C,,train
89.5,Br[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,,train
34,O=S(=O)(OCC)c1ccc(C)cc1,,train
129,c1cc(ccc1CCC(=O)O)O,,train
117,c1cc2cc(ccc2nc1)N,,train
36,c1ccc(cc1)Oc2cccc(c2)N,,train
121,Brc1cc(Br)cc(Br)c1N,,train
125,CC(C)(CO)CO,,train
94,c1ccc2c(c1)cc(cn2)N,,train
129,c1ccc(cc1)C(=O)c2ccccc2C(=O)O,,train
163,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,,train
114,c1ccc2c(c1)c(c[nH]2)CCN,,train
148,C=CCC2(C1CCCC=C1)C(=O)NC(=S)NC2=O,,train
