logD,compound,solvent,set
0.50999993,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,,train
1.55,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,,train
2.97,CCn1cnc(-c2ccccc2)c1-c1nc2c(N)ncnc2s1,,train
4.48,Cc1oc(S(C)(=O)=O)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1cn(C)c2ccc(Cl)cc12,,train
2.25,Cc1ccc(C(=O)NC2CCC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,,train
2.73,COc1ccc(S(=O)(=O)N2CCC[C@H](n3cc(C)c(=O)[nH]c3=O)C2)cc1Oc1cccc(Cl)c1,,train
0.8999999,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(F)cc54)CC3)nc2N1,,train
1.33,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1,,train
1.7,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,,train
1.95,CCc1cccc2c(C#N)cn(CC(=O)NCCOC)c12,,train
3.98,CCNC1=Nc2ccccc2C(c2ccccc2)=NC1c1cccs1,,train
3.65,c1ccc(-c2cc(NCCCCNc3cc(-c4ccccc4)nc4ccccc34)c3ccccc3n2)cc1,,train
3.06,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,,train
3.89,CC[C@H](NC(=O)c1c(N)c(-c2ccccc2)nc2ccccc12)c1ccccc1,,train
1.25,NC(=O)c1ccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)nc1,,train
1.09,O=C(O)COc1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,,train
1.1,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(C(F)(F)F)cc2[nH]cnc12,,train
0.30999997,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,,train
2.97,COc1ccc(-c2cc(Nc3ccn(C)n3)n3ncc(C#N)c3n2)cc1,,train
2,Cc1nc(C)c(-c2ccc3c(c2)CC[C@]32CC[C@@H](Cc3nnn[nH]3)CC2)nc1C(N)=O,,train
3.8,O=C(NCCCCc1ccccc1)c1ccccc1,,train
3.17,COc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1,,train
-0.54,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,,train
1.85,O=C(CO)N1CCC(c2n[nH]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,,train
2.92,COc1ccc(C(=O)C2CCN(C(=O)c3ccc(F)cc3)CC2)cc1,,train
1.49,Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O,,train
2.19,NS(=O)(=O)c1ccc(CCNc2ccc3nnc(-c4ccccc4)n3n2)cc1,,train
2.11,CC1C(=O)Nc2ccccc2N1C(=O)c1ccccc1,,train
2.5,CC(=O)NCc1ccc(CN2CCN(c3ccc(F)cc3F)CC2)cc1,,train
1.1,Nc1[nH]ncc1S(=O)(=O)c1ccccc1,,train
2.33,Clc1cccc2cn[nH]c12,,train
2.84,O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccc(F)c(F)c1,,train
0.8,O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(CO)c(Cl)c3)CC2)CC1,,train
3.02,COc1ccc(-n2sc3ccccc3c2=O)cc1,,train
2.6,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1,,train
3.12,O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1cccc(C(F)(F)F)c1,,train
1.97,N[C@@H]1CCCN(c2c(Cl)cccc2/C=C2\SC(=O)NC2=O)C1,,train
0.8999999,CC(c1ccsc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,,train
3.1,CONC(=O)c1cnc(N2CCC(NC(=O)c3[nH]c(C)c(Cl)c3Cl)CC2)s1,,train
3.6,C=CCN(C(=O)Nc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,,train
3.69,Nc1nc(NCc2ccccc2)nc2c1nc(O)n2Cc1ccccc1,,train
2.4,CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F,,train
2.6,Nc1n[nH]c2nnc(-c3ccccc3)c(-c3ccccc3)c12,,train
2.5,Cn1c(N)nc(CCc2cccc(-c3cccnc3)c2)cc1=O,,train
0.21999994,Cc1ncc(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](C(=O)O)CC2)cc1,,train
3.1,Nc1nc2nc(SCc3ccccc3)nc(N)c2s1,,train
1.56,O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1cscn1,,train
1.91,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)COc1ccc(Cl)cc1NC(N)=O,,train
0.17999998,N=C(N)NCCC[C@H](NC(=O)COCC(c1ccccc1)c1ccccc1)C(=O)O,,train
2.59,CCCCC(O)c1[nH]c2cc(C)c(C(=O)O)cc2c1CCc1ccccc1,,train
2.95,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,,train
2.36,COc1cc2ncnc(Oc3cnn(CC(=O)Nc4ccc(N(C)C)cn4)c3)c2cc1OC,,train
3.3,CCCc1c(OCc2ccc(/C=C/c3nn[nH]n3)cc2)ccc(C(C)=O)c1O,,train
2.61,Cn1c(-c2ccncc2)cc2onc(-c3ccccc3)c2c1=O,,train
2.73,Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,,train
0.21999994,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(=O)CC[N+](=O)[O-])CC3)c(F)cc2c1=O,,train
2.51,CC(=O)N1CCN(c2ccc(NC(=O)c3nnc(Nc4ccccc4F)o3)cc2)CC1,,train
3.12,Nc1c2c(nc3ccc(Br)cc13)N(c1ccccc1)CC2,,train
2.99,CN(C)CCOc1cc(NS(=O)(=O)c2c(Cl)cc(C(F)(F)F)cc2Cl)ccc1Cl,,train
3.29,CC(=O)Nc1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,,train
3.67,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,,train
1.5,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,,train
2.9,O=S(=O)(Nc1cc(F)ccc1F)c1ccc(Cl)cc1,,train
3.24,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,,train
2.96,Cc1cc(NC(=O)Nc2ccc(Cl)cc2)n(C)n1,,train
1.37,NC(=O)c1ccc(=O)n(Cc2ccc(F)c(F)c2)c1,,train
2,Cc1c(Cl)ccc(OC2CCN(C3CCN(C(=O)NS(=O)(=O)c4ccc(N(C)C)cc4)CC3)CC2)c1Cl,,train
2.34,COCCOc1ccc(-c2cc(C(N)=O)c(NC(N)=O)s2)cc1,,train
3.15,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,,train
0.58,O=C(O)/C=C/c1cccc(-c2cnc3[nH]ccc3c2)c1,,train
0.75000006,CC(C)(C)Cn1c(CN2C(=O)CC3(CCNCC3)C2=O)cc2cnc(C#N)nc21,,train
1.6,Cc1ccc(-c2cccc([S@]3(=O)=NC(=O)[C@H](C)N3)c2)cc1,,train
2.23,O=C(O)C(c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,train
3.49,CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,,train
2.91,CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cc(-c4n[nH]c(=O)o4)cnc3OC)cnc2[nH]1,,train
1.53,O=C(c1ccc(-c2nn[nH]n2)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,train
4.09,COC1CCN(C(=O)C2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)CC1,,train
1.15,O=C(CC1CCCCCC1)Nc1cccc2c(=O)n([C@H]3CCNC3)ccc12,,train
3.2,Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1,,train
0.73999995,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,,train
4.14,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N5CCOCC5)c34)cc2C)cn1,,train
2.12,Cc1ccc(C(=O)N2CC3CNCC(C2)O3)cc1NC(=O)CC12CC3CC(CC(C3)C1)C2,,train
-0.92000014,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,,train
2.9,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,,train
0.030000122,Cc1c(Sc2ccc(Cl)cc2)c2c(-c3cnccn3)cccc2n1CC(=O)O,,train
4.23,Fc1ccc(C2CCN(C(=S)COCc3ccncc3)CC2)c(Cl)c1,,train
1.26,N#Cc1c(C(=O)O)n(Cc2ccc(Cl)c(Cl)c2)c2ccccc12,,train
2.58,O=C(O)[C@H](Cc1ccccc1F)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,train
3.3,Oc1nc2ccccc2nc1NCc1ccccc1,,train
2.7,CS(=O)(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,,train
0.8999999,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,,train
1.51,NC(=O)c1ccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)cn1,,train
1.63,Cc1onc(C(N)=O)c1C(=O)Nc1nccs1,,train
0.49000004,Cc1cc(C)c(C(=O)N[C@@H](Cc2ccc(OCCCNc3ccccn3)cc2)C(=O)O)c(C)c1,,train
2.78,CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1)C(F)(F)F,,train
3.2,O=C(c1csc2c1CCCC2)N1CCCCC1,,train
1.99,CCCC(C)(C)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,,train
2.49,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,,train
3.27,c1cn(-c2ccc(Oc3nccc(Oc4ccc5c(c4)OCO5)n3)cc2)cn1,,train
2.4,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,,train
1.1,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,,train
3.83,CSc1nc(-c2ccccc2)nn1Cc1ccccc1,,train
2.35,CNC1CCN(c2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cn2)C1,,train
2.2,COc1cc(C(=O)NS(=O)(=O)c2ccccc2)ccc1Cn1ccc2ccc(NC(=O)OC3CCCC3)cc21,,train
2.59,CN(CCc1ccc(O)c2nc(O)sc12)CCN(C)C(=O)CCOCCc1ccccc1,,train
0.29999998,N#Cc1cccc(-c2cccc(C(=O)O)c2)c1,,train
3.4,CN(C(=O)NCc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,,train
2.8,CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2cccc3cc[nH]c23)n1,,train
2.1,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cn2)C[C@@H]1F,,train
-0.099999994,Nc1nnc(CCSCCc2nnc(N)s2)s1,,train
-0.6499999,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,,train
3.1,CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccc(S(C)(=O)=O)cc3)nc2)CC1,,train
3.53,N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1,,train
3.83,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2ncccc12,,train
4.48,CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,,train
3.19,O=C(Nc1ncc(F)s1)[C@H](CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,,train
2.65,Nc1n[nH]cc1-c1cc(C(F)(F)F)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,,train
1.18,CCN(CC)C(C)C(=O)c1ccccc1,,train
3.37,Cc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C4CC4)C3)CC2)cc1Cl,,train
0.21999994,CC[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,,train
0.8999999,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CCCO2)CC1,,train
0.99000007,N#C[C@@H]1CCCN1C(=O)CNCCNc1ccc(Cl)cn1,,train
3.37,N#Cc1cccc(-c2ccc(C3(CNC(=O)Nc4cc(Cl)cc(Cl)c4)CCN(CC4CC4)CC3)cc2)c1,,train
2,CC(=O)NC1CC(C)N(C(=O)c2ccccc2)c2ccccc21,,train
2.05,CC(c1cc2ccccc2s1)N(O)C(N)=O,,train
2.2,Cn1cc(-c2ccc(O)cc2)c(=O)c2c(O)cc(O)cc21,,train
2.24,Cc1cccc(N(Cc2cc(F)c(F)cc2F)C(=O)O[C@H]2CN3CCC2CC3)c1,,train
1.65,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,,train
2.85,Cc1ccccc1Nc1ncnc2ccccc12,,train
2.41,O=C1NC(=O)C(Cc2ccc3ccccc3c2)S1,,train
2.38,C[C@H]1COCCN1c1cc(CS(C)(=O)=O)nc(-c2ccc3[nH]ccc3c2)n1,,train
3.44,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)nc(N3CCOCC3)c2)n1,,train
3.6,Cc1[nH]c2nc(NCc3cccc(Cl)c3)nn2c(=O)c1Cc1ccccc1,,train
2.63,O=C(COCc1ccncc1)N1CCN(c2ccc(F)cc2Cl)CC1,,train
1.72,COc1ccc([C@]2(O)CC[C@H](N3CC[C@@H](NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,,train
3.3,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@@H]1F,,train
2.76,Nc1ccccc1NC(=O)c1ccc(C2CCN(CCC(=O)Nc3ccccc3F)CC2)cc1,,train
3.6,CC(C)C(C#N)(CCCN(C)CCc1ccccc1)c1ccccc1,,train
0.29,COc1ccc2c(C)nc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,,train
3.37,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3Oc3ccccc32)cc1NC(=O)Cc1ccnc(F)c1,,train
1.4,O=c1ccoc2ccccc12,,train
3.65,Oc1ccc(-c2nc3ccc(O)cc3s2)cc1,,train
1.7,CN(C)c1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,,train
1.38,O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1,,train
0.24000004,COc1ccccc1OCC(O)CO,,train
-0.1999999,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,,train
2.3,Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4cccc(Br)c4)c3)C2)c(=O)[nH]c1=O,,train
0.37000003,COc1ccc2ncc(=O)n(CCN3CC[C@@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](O)C3)c2c1,,train
4.06,COc1cc(Oc2ccnc3ccc(F)cc23)ccc1CC(=O)Nc1noc(C)c1C,,train
3.7,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,,train
2.9,N#Cc1ccc(CN2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1,,train
0.81,CC(C)Oc1cc(OCCc2cccnc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,,train
4.36,CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)n(Cc3cccc4ccccc34)cc21,,train
2.6,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3c(c2)c(=O)sn3C)c1,,train
4.31,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,,train
0.6000001,NCCCCCc1c[nH]c2ccc(F)cc12,,train
0.33000007,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)Cc2ccccc2)CC1,,train
2.79,CC(=O)NC1CC2CCCC(C1)N2C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,,train
3.34,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,train
2.77,Cc1cc2n[nH]c(=O)n2c2cc(-c3ccc(C(=O)N4CCOCC4)cc3)ccc12,,train
1.84,NC(=O)c1c(N)sc2c1CCCC2,,train
2.38,CC(=O)Nc1cccc(OCc2cnc(Cl)s2)c1,,train
0.6100001,O=S(=O)(NCCNc1ncccn1)c1cccc2cnccc12,,train
2.5,Nc1nc(Nc2ccc3nc(-c4ccc(F)cc4)cc(N)c3c2)cc(-c2cccc(Cl)c2)n1,,train
1.83,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(OC2CCNCC2)ccc1Cl,,train
2.79,CCc1[nH]nc(NC(=O)Cc2ncc(Oc3ccnc4cc(OC)c(OC)cc34)cc2OC)c1C,,train
1,COc1ccc2nc3ccccc3c(N)c2c1,,train
2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2nc(O)sc12,,train
3.5,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,,train
-0.92000014,CCN(CC)CCNC(=O)c1ccc(N)cc1,,train
1.7,NC1(c2ccc(-c3c(-c4ccccc4)ncc4nccn34)cc2)CCC1,,train
1.85,COc1ccc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)[C@H](C)C2)cc1OC,,train
3.3,Oc1ccc(-c2cnc3ccccc3n2)cc1,,train
3.75,CCn1c2ccccc2c2cc(NC(=O)CCc3ccncc3)ccc21,,train
3.4,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2Cl)cn1,,train
0.8,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C#N)nn3)c(F)c2)C(=O)O1,,train
0.060000096,Cc1ccc2c(c1)c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,,train
3.92,C=CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,train
-0.4900001,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,,train
3.59,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4c(Cl)cccc4c3C2)CC1,,train
1.82,Fc1cccc(-c2cncc(CNCC3CC3)n2)c1F,,train
-0.15999994,O=C(O)COc1ccc(-c2nccs2)cc1-c1ccccc1,,train
1.86,CNc1cnc(-c2ccc(F)cc2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O,,train
3.6,Cn1c(CN2CCC(c3ccccc3)CC2)nc2ccccc21,,train
4.1,O=C1c2ccccc2CN1C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,,train
3.6,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,,train
2.87,C[C@@H]1c2c([nH]c3ccc(C(F)(F)F)cc23)C[C@@H]2CCN(CCN3CCOCC3)C[C@H]21,,train
1.85,Cc1ccc2c(c1)c(Sc1cccc(Cl)c1)c(C)n2CC(=O)O,,train
2.42,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)c3cc(S(C)(=O)=O)ccc23)CC1,,train
3,O=c1oc2ccccc2cc1-c1ccc(O)cc1,,train
3.85,O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O,,train
2.36,NC(=O)c1ccc(=O)n(Cc2ccc(Cl)cc2Cl)c1,,train
2.09,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NCCO)cc3)n2)n1C(C)C,,train
2.1,CS(=O)(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,,train
1.01,O=C(O)COc1ccc(Cl)cc1CN1CCCN(S(=O)(=O)Cc2ccccc2)CC1,,train
2.51,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,,train
2.01,O=CN1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,,train
1.12,Cc1cn([C@H]2CCCN([C@@H](CC(C)(C)C)c3ccc(C(=O)O)c(Oc4cccc(Br)c4)c3)C2)c(=O)[nH]c1=O,,train
3.66,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,,train
0.49000004,COc1cccc2c(-c3c(C)n(CC(=O)O)c4ccc(C)cc34)ccnc12,,train
1.86,CCCNC(=O)c1nnc2c(-c3ncccn3)cccc2c1N,,train
1.29,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,,train
1.49,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(c4cnccn4)CC3)c(F)c2)C(=O)O1,,train
3.59,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,,train
1.9,CN1CCC(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)(S(C)(=O)=O)CC1,,train
1.56,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,,train
1.6,Oc1nc2cc(Cl)cc(Cl)c2c(O)c1-c1ccccc1,,train
3.44,CCOC(=O)c1ccc(OCC2CCN(c3ccc(C)nn3)C2)cc1,,train
2.65,COc1cccc(C(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)c1,,train
3,CNC(=O)c1ccc(Nc2ncc(F)c(-c3cnc(C)n3C(C)C)n2)cc1,,train
4.01,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4c(OC(F)(F)F)cccc4c3C2)CC1,,train
3.1,COc1cnc(-c2ccccn2)nc1Oc1ccc(F)cc1F,,train
1.33,Nc1ccc2ncccc2c1,,train
1.2,CC(C)C(NC(=O)Cn1c(-c2cccc(C(=O)O)c2)ccc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,,train
2.87,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCCC4)c23)ccc1OCc1ccccn1,,train
3.68,CC(C)Oc1cc(OCCN2CCOCC2)cc2ncnc(Nc3c(Cl)ccc4c3OCO4)c12,,train
0.8999999,Cc1nc2ccc(NC(=O)CCNC(N)=O)cc2s1,,train
0.42,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,,train
1.83,Cc1cn([C@H]2CCCN([C@H](CC3CCCCC3)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O,,train
2.7,NC1(C(=O)NC(CCCN2CCOCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,,train
1.33,Fc1ccc(C2CC=CCNC2)cc1Cl,,train
1.64,CC(C)CC(c1ccncc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O,,train
2.87,O=C(COc1ccccc1)c1ccccc1,,train
1.4,O=S1(=O)CC(O)C(N2CCC(c3ccccc3)CC2)C1,,train
1.13,N=C(NCc1ccc(Cl)cc1)SCCCc1c[nH]cn1,,train
0.66,COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1,,train
3.45,C[C@H](Nc1nc(Nc2ncc(C#N)s2)cc(N2CCOCC2)n1)c1ccc(F)cn1,,train
2.79,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,,train
0.93,O=C(O)COc1ccc(Cl)cc1C1CCCCC1,,train
1.26,O=C(NCCCCCCNCCc1ccc(O)c2nc(O)sc12)Nc1ccccc1,,train
1.72,Nc1ccc2c(c1)C(=O)C(=O)c1cc(N)ccc1-2,,train
0.77000004,COc1ccc2ncc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@H](O)C3)c2c1,,train
2.06,CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN(C(=O)C[C@H](N)Cc3ccc(F)c(F)c3)[C@H](Cc3ccccc3)C2)c1,,train
3.5,CCc1ccccc1-c1ccc(-c2nc3ccncc3c(O)c2C#N)cc1,,train
4.05,CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)c(Cc3ccccc3C(F)(F)F)sc21,,train
2.42,COc1ccc(-c2cc(N)n3ncc(C#N)c3n2)cc1,,train
0.7300001,c1ccc(CNCCNCc2ccccc2)cc1,,train
2.79,COc1cnc(-c2ccccn2)nc1N(C)c1ccccc1,,train
2.65,O=C(NCC1CCCCC1)c1c(Cl)ccc2ncccc12,,train
2.7,CCOC(=O)c1ccc(OCCC2CN(c3ccc(C)nn3)CCO2)cc1,,train
2.7,CCn1c(=O)ccc2cnc(Nc3ccc(OC)c(OC)c3)nc21,,train
-0.010000078,C=CCc1cc(NC(C)=O)ccc1OCCCNC(C)C,,train
3.6,Cc1cccc(C#Cc2ccccc2)n1,,train
-0.07000002,CN(C)C(=O)N[C@H]1CC[C@H](CN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)CC1,,train
3.29,FC(F)(F)c1nnc2ccc(N3CCCCCC3)nn12,,train
0.9700001,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,,train
2.93,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)nn2)CC1,,train
2.07,Cc1cc2n[nH]c(=O)n2c2cc(-c3ccco3)ccc12,,train
3.52,O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccc(Br)s1,,train
2.78,Cc1c(N)cccc1Cn1ccc(OCCc2cccs2)cc1=O,,train
1.96,Cc1cc(Nc2cnc(C#N)c(N[C@@H](C)c3ncc(F)cn3)n2)n[nH]1,,train
2.33,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,,train
3.7,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3cc(F)ccn23)n1,,train
1.19,NC(=O)c1cccc(C[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,,train
2,NC1(c2ccc(-c3c(-c4ccccc4)ccn4ccnc34)cc2)CCC1,,train
