Solubility,compound,solvent,set
-4.53,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,,train
-1.887,CCCc1cc(F)ccc1O,,train
-2.5443676,CCCCOC(=O)C(C)=C,,train
-0.13619913,CCCCCCCCCO[S]([O-])(=O)=O,,train
-3,NC(CCCCNC(=O)OCC1C2=C(C=CC=C2)C2=C1C=CC=C2)C(=O)O,,train
-1.46,COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1,,train
-2.9565,COc1cc(N[S](=O)(=O)c2ccc(N)cc2)nc(OC)n1,,train
-7.133804,CCCCCCCCCCCCCCCCOC(=O)Oc1c(Cl)cc(cc1Cl)C(=O)OCC,,train
0.107600085,OC1C(O)C(O)C(O[P](O)(O)=O)C(O)C1O,,train
-3.1249456,CCCCCCCCCCCCCCCC[N+](C)(C)C,,train
-1.43,NC1=NC2=C(C=N1)N=CN2CCC1COC(=O)OC1,,train
-2.82582,COC(=O)c1cccc(c1)C(=O)OC,,train
-2.92262,Oc1ccc(cc1O)C(=O)c2ccccc2,,train
-3.71,CCCC(=O)OCSC1=NC=NC2=C1N=C[N]2COC(=O)CCC,,train
-1.7233908,CC(F)(F)Cl,,train
-2.0696,CCNc1nc(NC(C)C)nc(OC)n1,,train
-6.655742,CC(C)CCCCCCCCCCCCCCC(O)=O.OC[C@H](O)[C@@H](O)[C@H](O)C(O)O,,train
-0.9462,NC(=O)NCc1ccccc1,,train
0.18440019,C=C1CCOC1=O,,train
-1.0939,Cc1nnc(N)nc1C,,train
-0.08889998,CCOCC,,train
0.81210005,CN(C)[P](F)(=O)N(C)C,,train
-7.32,ClC1=CC(=CC(=C1)OC2=CC=C(Cl)C(=C2)Cl)Cl,,train
-3.1,CNC(=N)NS(=O)(=O)C1=CC2=C(C=CC=C2)C=C1,,train
-4.838817,CCC1(C/C=C2/CCCc3cc(OC)ccc23)C(=O)CCC1=O,,train
-0.02059997,C=CCOCC=C,,train
-5.4583983,CN(C)c1ccc(cc1)C(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C,,train
0.05229985,O=NN1CCCC1=O,,train
-0.63250005,CC(C)C(NC(C)=O)C(O)=O,,train
0.3919617,NC(CCC(O)=O)C([O-])=O,,train
-3.18,CCN(CC)C(=O)CN1C=C(I)C(=O)C(I)=C1,,train
-1.6464,CCOC(OCC)C(Cl)(Cl)Cl,,train
-8.6,c(c(cc(c1ccc2)c2)cc(c3ccc4)c4)(c1)c3,,train
-2.974,CCN1C=C(C(O)=O)C(=O)c2cnc(nc12)N3CCNCC3,,train
-4.1004353,CCC(C)(C)OOC(C)(C)CC,,train
-3.22,IC=CI,,train
-4.4261227,CCCCCCCCCCCCN(C)C,,train
-0.265,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]3[C@@H](C)CC(=O)[C@H]13,,train
-4.12,O=C1NC(NC2=CC=CC=C2)=NC2=C1N=CN2,,train
-2.3547997,CCOC(OCC)\C=C(C)\CCC=C(C)C,,train
-3.85,C1=COC(=C1)C(=O)C2=NO[N+](=C2C(=O)C3=CC=CO3)[O-],,train
-1.614,CC(Cl)=CCl,,train
-6.8245,Clc1cccc(c1)c2c(Cl)cccc2Cl,,train
-5.936026,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,,train
-2.2396238,OC(=O)c1oc(cc1)C(O)=O,,train
-3.589641,CC/C(C)=C/CC/C(C)=C/C#N,,train
-8.123729,N#Cc1ccc(C=Cc2ccc(cc2)C=Cc3cccc(c3)C#N)cc1,,train
-3.5372,COCCOc1ccccc1[S](=O)(=O)NC(=O)Nc2nc(OC)nc(OC)n2,,train
-0.12099994,NNC(=O)CC(=O)NN,,train
0.61940014,[nH]1cnc2ncncc12,,train
-3.7665,C[Si](Cn1cncn1)(c2ccc(F)cc2)c3ccc(F)cc3,,train
0.8992001,OCC[S](O)(=O)=O,,train
-3.55,CCCC(=O)OC[N]1C=C2C(=O)N(COC(=O)CCC)C=NC2=N1,,train
-7.4052,Clc1cccc(c2cc(Cl)c(Cl)c(Cl)c2)c1Cl,,train
-3.6174,COc1cc(cc(OC)c1OC)[C@H]2[C@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24,,train
-5.2878,Clc1ccc(c(Cl)c1)c2ccccc2,,train
-5.944,Clc1cccc(c1Cl)c2ccccc2Cl,,train
-2.983,C#CCCCCCC#C,,train
-1.38,CS(=O)(=O)C1=CC=C(C(=N)N)C=C1,,train
-3.8003,Brc1ccc(Br)c(C=O)c1,,train
-4.3465,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,train
-6.4121985,Cc1cccc(c1)N(c2ccccc2)c3ccc(cc3)c4ccc(cc4)N(c5ccccc5)c6cccc(C)c6,,train
-1.7882437,CC(C)[C@H]1CCC(=CC1=O)C,,train
-4.19,c1ccc(cc1)\N=N\c1c(nc(cc1)N)N,,train
0.6585802,CN1C[NH+](C=C)C=C1,,train
-2.5,CN1N=C(SC1=N[S](=O)(=O)C2=CC=C(N)C=C2)[S](N)(=O)=O,,train
-2.055,Cc1cc(C)c(O)c(C)c1,,train
-6.8367534,Cc1cccc(C)c1O[P](=O)(Oc2cccc(O[P](=O)(Oc3c(C)cccc3C)Oc4c(C)cccc4C)c2)Oc5c(C)cccc5C,,train
-2.6774,OC(=O)c1cccc2ncccc12,,train
-1.6225463,CCCOC(=O)C(/O)=C/Oc1ccccc1,,train
-5.1824055,CCC(C)C(C)C(C)CCc1ccc(O)cc1,,train
-2.26,n1(Cc2ccccc2)cncc1,,train
-4.9095054,C[Si](C)(C)O[Si](C)(C)C,,train
0.1797999,CCC(CC)(CO)CO,,train
-4.3979,CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,,train
0.5024816,CN(C)CCOC(=O)C(C)=C,,train
-7.8613825,CCOc1cc2N=C3C(=C4Oc5cc(NC(=O)c6ccccc6)c(OCC)cc5N=C4C(=C3Oc2cc1NC(=O)c7ccccc7)NC(C)=O)NC(C)=O,,train
-2.7763,c1ccc2c(c1)cnc3ccccc23,,train
-2.7696,CCC1(C(=O)NC(=O)NC1=O)C2=CC3CCC(C3)C2,,train
-3.01,C(c1ccc(cc1)NCCCC)(=O)OCCN(C)C,,train
-6.474169,CC(C)(c1ccccc1)C(C)(C)c2ccccc2,,train
-2.5,CNC(/NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O,,train
-1.3733684,Nc1cccc(Cl)c1,,train
-4.692504,CC(c1ccccc1)c2ccccc2,,train
-2.9076,CCCCCC1C(CCC1=O)CC(=O)OC,,train
-0.89972436,COc1ccc(cc1N)[S](O)(=O)=O,,train
-2.48,CC(C)=NNC(=N)N1CC2=CC=CC3=CC=CC(=C32)C1,,train
-1.7990173,CC(=O)Oc1ccc(cc1)C#N,,train
-2.6561,NC(Cc1ccc(O)cc1)C(O)=O,,train
-3.55,NC1=CC=C(C=C1)[S](=O)(=O)NC2=NC(=O)NC=C2,,train
-3.537,CC(C)=CC=C(C)C,,train
-1.1429744,Nc1ccc(cc1)C#N,,train
-1.2101,CC(C)CCOCC(O)CO,,train
-2.65,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,,train
-1.082442,OCCCCCCCl,,train
-4.4100876,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,,train
-3.2653422,CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C,,train
-0.8354591,COc1ccc(cc1)N=Nc2ccc(cc2OC)N=Nc3cccc(c3)[S]([O-])(=O)=O,,train
-7.777866,O=C1c2ccccc2C(=O)c3c(Nc4nc(Nc5cccc6C(=O)c7ccccc7C(=O)c56)nc(n4)c8ccccc8)cccc13,,train
-0.8621999,CCC(=O)OC(C)C(=O)OC,,train
-2.2216332,CCOC(=O)C(=N/Nc1ccc(cc1)[N+]([O-])=O)/C(=O)C2=NN3C(=NC(=O)c4ccccc34)S2,,train
-2.6026,OC(=O)CCCCCc1ccccc1,,train
-1.9272,CCC(O)CCC(C)C,,train
-1.48,CCCC(=O)CCC,,train
-6.8135033,CCn1c2ccccc2c3ccccc13,,train
-4.0405903,CC(C)=CCCC(C)(OC=O)C=C,,train
-1.5899999,OC(=O)C1CCCN1C(=O)COC(=O)C2=CC=CC=C2,,train
-3.73272,CCC12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CCC2=O,,train
-1.9220737,CN(C)c1ccccc1,,train
-6.8786,N1c2ccc3ccccc3c2Sc4c1ccc5ccccc45,,train
-1.1000999,C=COC1CC1,,train
-1.47,NC(=O)OCCCCC,,train
-1.5,CCCC(CCC)C(=O)NCCCC(=O)O,,train
-3.73,CC(C)(C)C(=O)OC1=CC2=C(C=C1)N=C(S2)[S](N)(=O)=O,,train
-7.779843,Cc1ccccc1OP(Oc2ccccc2C)Oc3ccccc3C,,train
-4.8187037,Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S](=O)(=O)NC4CCCCC4)c5C(=O)c6ccccc6C(=O)c25)[S](=O)(=O)NC7CCCCC7,,train
-3.1666,Oc1ccc(Cl)cc1Cc2ccccc2,,train
-2.84,CCN(CC)CC(C1=CC=CC=C1)OC(=O)C2=CC=C(C=C2)[N+](=O)[O-],,train
-0.6608001,CC1=C(CCC(O)=O)C(=O)NC1=O,,train
-6.51,ClC1=CC(=C(C=C1)C2=CC=C(Cl)C=C2Cl)Cl,,train
-7.99,CC1=C(Cl)C(CC2=C(Cl)C=CC=C2Cl)=CC=C1Cl,,train
-6.57,Cc1cc(ccc1N=Nc2ccc(cc2Cl)[N+]([O-])=O)N(CCO)CCO,,train
-2.096125,CC1(C)C2CC(O)C(=C)C1C2,,train
-1.2099999,CNC(=O)O\N=C(\C)SC,,train
-2.812143,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,,train
-1.313,COC(=O)c1ccccc1O,,train
-6.95,COC1=CC2=C(C=C1OC)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)[N+]([O-])=O,,train
-2.4446,OC(=O)c1cc(Cl)c(Cl)cc1Cl,,train
-4.210096,CC(CC(=O)OOC(C)(C)C)CC(C)(C)C,,train
-3.38,[O-][N+](=O)C1=CC=C(O1)\C=N\N2CC(=O)NC2=O,,train
-1.2177,CC(C)(C)[S](=O)(=O)C(C)(C)C,,train
-1.9548,CCCCC[N+]([O-])=O,,train
-3.06,O=C1NC(=O)C2(CCCCC2)C(=O)N1,,train
-5.7315454,CCCCC(CC)CNC(=O)CCCCCC(C)C,,train
-4.761072,COC1=CCC2=C(CC[C@@H]3[C@@H]2CC[C@]4(C)[C@@H](O)CC[C@@H]34)C1,,train
-4.47,CC12CCC3C(CCC4=CC(=CC=C34)O)C1CCC2(O)C#C,,train
-2.2471,OC(=O)CCC[Se][Se]CCCC(O)=O,,train
-2.6706,O[C@@]12CCO[C@@]1(Nc3ccccc23)[C@@H]4C[C@@H]5CCN4C[C@@H]5C=C,,train
-3.71,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],,train
-3.5903,CCCC(Cn1cncn1)c2ccc(Cl)cc2Cl,,train
-3.3932598,CC(C)CCCC(C)CCO,,train
-2.8803,COC(=O)C1(CC1)[S](=O)(=O)c2ccc(C)cc2,,train
-0.8834001,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,,train
-1.2870998,ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O,,train
-3.1656,OC(=O)c1ccc(c2cccnc12)[N+]([O-])=O,,train
-1.8476,CC(Br)CCl,,train
1.0451692,OCCCCO,,train
-5.000794,CC(C)CCCCCCCCCCO,,train
-2.24,NC(=S)NS(=O)(=O)C1=CC=C(N)C=C1,,train
-0.6150001,CC(C)[N+]([O-])=O,,train
0.96210015,CN1C=CC=CC1=O,,train
-2.75,COC1=CC=C(CN2C=C(F)C(=O)NC2=O)C=C1,,train
-5.6201,[O-][N+](=O)c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,,train
-7.273926,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC,,train
-5.19,CO/N=C(C(=O)OC)/C1=C(COC2=C(C)C=CC=C2)C=CC=C1,,train
-3.85,C1C(=O)C=C2CCC3C4CCC(C(=O)CO)C4(C5O)CC(O5)C3C2(C)C1,,train
-2.52,CC12CCC(C(=NO)C1=NO)C2(C)C,,train
-4.2262344,CCC(COC(=O)C(C)=C)(COC(=O)C(C)=C)COC(=O)C(C)=C,,train
-2.49,CCCCC(O)CCCC,,train
-0.6,C\C(Br)=C\C(O)=O,,train
-3.8632748,O=C(Cc1ccccc1)OCc2ccccc2,,train
-4.23,CCCCCCCOC(=O)C1=CC(Cl)=C(O)C=C1,,train
-0.3062998,OC(C(O)c1ccccc1)C(O)=O,,train
-0.81000006,C1C2(COP(=O)(O1)OC2)[N+](=O)[O-],,train
-2.44,CC(CCCO[N+](=O)O)O[N+](=O)O,,train
-0.46910608,CC(C)CCCCCCCOC(=O)CC(C(=O)OCCCCCCCC(C)C)[S]([O-])(=O)=O,,train
-1.1812164,Nc1ccc(cc1N)[S](O)(=O)=O,,train
-7.0057,CC(Oc1ccc(Cl)c(C)c1Cl)C(=O)Nc2ccccc2,,train
0.9386362,CNC(=O)NC,,train
-2.6538,CCCCCCOC(=O)c1cccnc1,,train
-5.13,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)[S](N)(=O)=O)[N+]([O-])=O,,train
-0.7875,CC[C@H](C)[C@@H](N)C(O)=O,,train
-4.52,CS(=O)(=O)C1=CC=C(C2=C(C3=CC=CC=C3)C(=O)OC2)C=C1,,train
-2.676,CSc1nc(nc(n1)N(C)C)N(C)C,,train
-0.91999996,CCC1C(=O)NC(=O)NC1=O,,train
-1.113,COc1ncc2nccnc2n1,,train
-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,,train
-5.7568,CCCCC(C)(C)C,,train
-2.1925611,C1OC1COc2cccc(c2)N(CC3CO3)CC4CO4,,train
-2.35,O=C(OCC)c(c(ccc1)C(=O)OCC)c1,,train
-1.9385,CCCCOC(=O)CC,,train
-2.5295,Cc1ccccc1Cl,,train
-0.76160014,COCC(=O)c1ccccc1,,train
-1.78,O=C(Nc(ccc(c1)F)c1)C,,train
-3.81,COc1c2C=CC(=O)Oc2cc3OC(C)(C)C=Cc13,,train
-4.6349,CC[S](=O)(=O)c1cccnc1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2,,train
-3.107,COc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,,train
-0.47449982,OCCNc1ccccc1,,train
-5.941561,C1COC2(C1)CC3CC2C4CCCC34,,train
-0.69213665,CC(CCCC(C)(C)O)CC=O,,train
-0.19431032,NC(=O)CC[C@H](NC(=O)C[NH3+])C([O-])=O,,train
-2.03,CC1=C(O)C(=O)C=CN1C1=CC=CC=C1,,train
-2.2334404,OC(=O)c1cccc2cccc(c3cccc4cccc(C(O)=O)c34)c12,,train
1.1302999,OCC1CO1,,train
-1.5399557,CC1(C)CC(CC(C)(C)N1)N(CCCCCCN(C=O)C2CC(C)(C)NC(C)(C)C2)C=O,,train
-0.43190014,OCc1ccccc1,,train
0.91890013,C\C=C(/Cl)C(O)=O,,train
-1.6475579,N#CCN(CC#N)CC#N,,train
-1.2298486,OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23,,train
0.38877404,OCC1CCCO1,,train
-2.1052108,Nc1cc(Cl)c(Cl)cc1[S](O)(=O)=O,,train
0.69850004,OCC(O)C(O)CO,,train
0.7285999,COC1=COC(=CC1=O)CS[P](=O)(OC)OC,,train
-0.89,COC1=CC=C(CC2NC(=O)N(C)C2=O)C=C1,,train
-2.4089,Oc1cccc2ccnnc12,,train
-5.0169,CCO[P](=S)(Oc1ccc(cc1)[N+]([O-])=O)c2ccccc2,,train
0.3827001,o1cccn1,,train
-1.3247,C[C@](N)(Cc1ccc(O)c(O)c1)C(O)=O,,train
-1.576245,CCC(C)c1cc(cc(n2nc3ccccc3n2)c1O)[S]([O-])(=O)=O,,train
-0.80140007,NC(=O)NCCC(O)=O,,train
-5.9638495,CC(C)(O)C(=O)c1ccc(cc1)C2(C)CC(C)(C)c3ccc(cc23)C(=O)C(C)(C)O,,train
-1.314975,COc1ccccc1OC,,train
-4.057693,COc1cc(c(OC)cc1N)[S](=O)(=O)Nc2ccccc2,,train
-3.5916429,Nc1c(Cl)cc(cc1Cl)C(F)(F)F,,train
-4.22,CCCCCOC(=O)C1=CC(I)=C(O)C=C1,,train
-4.5239077,Oc1ccc(cc1)C(c2ccc(O)cc2)c3ccccn3,,train
-4.6698437,CCC=C.C\C=C\C,,train
-1.6135,CN=C(N)N,,train
-4.464546,CN(C\C=C\C#CC(C)(C)C)Cc1cccc2ccccc12,,train
-4.76,CCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4=O)C3CC=C2C1,,train
0.74670017,CN(C)[P](=O)(N(C)C)N(C)C,,train
-2.454058,CC(C)CC(=O)CC(C)C,,train
-2.402,CCCCC(CC)COC(=O)N[S](N)(=O)=O,,train
-5.2,c1ccccc1c2ccc(Cl)cc2,,train
-4.6498,CC(C)OC(=O)C1(CCCC1)[S](=O)(=O)c2ccc(Cl)cc2,,train
0.84009993,O[P](O)(=O)CCCl,,train
-1.8108,CC(=C)CCl,,train
-1.53,CN(C)C(=O)N1C=C(F)C(=O)NC1=O,,train
0.9095,Cc1cc(C)c[n+]([O-])c1,,train
-8.1,ClC1=CC(=C(OC2=C(Cl)C(=C(Cl)C=C2)Cl)C(=C1)Cl)Cl,,train
-3.81,CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,,train
-5.122,Oc1ccc(cc1C(=O)Nc2ccc(Cl)cc2)[N+]([O-])=O,,train
-5.2094,[O-][N+](=O)c1ccc(cc1)c2ccccc2,,train
-2.64,O=C1NCCCC1N1C(=O)C2=C(C=CC=C2)S1(=O)=O,,train
-2.3711975,CC1CC(=CC(C)C1CO)C,,train
-0.83000004,O=C(C=C)CCC,,train
-1.472234,OC(=O)CC1(CCCCC1)CC(O)=O,,train
-0.23190011,[nH]1nc2cncnc2n1,,train
-1.997,CNC(=O)N(C)c1sc(nn1)C(C)(C)C,,train
-3.36,OC(=O)COC1=CC2=C(C=CC=C2)C=C1,,train
-2.54,C1=CC2=C(C=C1S(=O)(=O)O)C(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])O,,train
-7.6399994,ClC1=CC=C(OC2=C(Cl)C(=CC(=C2)Cl)Cl)C(=C1)Cl,,train
-2.7505,Cc1ccc(c(O)c1)[N+]([O-])=O,,train
-4.9453,CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC12C)C(C)=O,,train
-6.287,Clc1ccc(cc1Cl)c2ccccc2Cl,,train
0.77943957,OCC(O)COCC(O)CO,,train
-2.8927,O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4,,train
-0.98,CC1=CC(OC2=CC=CC=N2)=NN1C,,train
-2.47,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,,train
-6.5715,Cc1cc2c3ccccc3ccc2c4ccccc14,,train
-0.7369,Nc1ccccc1O,,train
-0.719,CCN1C(=O)N(C)c2ncn(C)c2C1=O,,train
-1.7136,O=C1Nc2nc[nH]c2C=N1,,train
-1.62,O=C(ON=C(C(C)(C)C)CSC)NC,,train
-2.7226338,Fc1ccc(cc1)C(=O)CCCCl,,train
-3.151,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,,train
-0.4992,COCc1oc(C=O)cc1,,train
-4.3701,COc1cc(Cl)c(Cl)c(Cl)c1OC,,train
-7.7399993,BrC1=CC=C(C2=CC=C(Br)C=C2)C=C1,,train
-3.5337584,O=C1CCCCCCCCCCC(=O)OCCO1,,train
-1.91,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3,,train
-2.0625,CCC(CC)([S](=O)(=O)CC)[S](=O)(=O)CC,,train
-1.8029143,Oc1ccccc1[N+]([O-])=O,,train
-6.8676395,CCCCCCCCCCCCCCCCOC(=O)C(CC)CCCC,,train
-3.5779624,CC(C)(C)c1ccc(cc1)C(O)=O,,train
-1.33,N[S](=O)(=O)C1=NN=C(N[S](=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O)S1,,train
-2.22,CC(CC(C)O[N+](=O)O)O[N+](=O)O,,train
-4.52,CC1=C(C2=CC=C(C=C2)[S](N)(=O)=O)C(=NO1)C3=CC=CC=C3,,train
-2.0012639,CCC(C)Cl,,train
-2.2512732,CCOC(=O)C1CCC(CC1)C(=O)OCC,,train
-2.6618,N[S](=O)(=O)c1ccc(SCCCCCO)cc1,,train
-1.6427811,CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6,,train
-3.7998,ON=C1C=CC(=NO)c2ncccc12,,train
-0.32352698,COC(C)(C)C,,train
-4.561,CC(C)OC(=O)[C@H](C)N(C(=O)c1ccccc1)c2ccc(F)c(Cl)c2,,train
-10.9486,Clc1cc2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2cc1Cl,,train
-1.14,CCN(CC)C(=O)CCC(=O)OC[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,,train
0.17349993,Cc1ncnc2nc[nH]c12,,train
-1.1309,OC(=O)c1c(Cl)cccc1Cl,,train
0.82359993,O[C@@H]([C@H](O)C(O)=O)C(O)=O,,train
0.18644868,CC(=O)CC(C)=O,,train
-3,CCOC(=O)C(C)(C(=O)NC(=O)NC)C1=CCCCC1,,train
-1.7395,C=CCN(CC=C)CC=C,,train
-4.472809,CCO[P](=O)(Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)OCC,,train
-2.3,CCCCC(=O)N1C(=O)NC=C(F)C1=O,,train
-4.62,CCCCCCCC(=O)OCSC1=NC=NC2=C1N=C[NH]2,,train
-3.9885266,C(COc1ccccc1)Oc2ccccc2,,train
-7.6305995,COc1ccccc1N=NC(C(C)=O)C(=O)Nc2ccc3NC(=O)Nc3c2,,train
-0.11239994,OCCNC(=O)C(=O)NCCO,,train
-2.96,COC1=C(Cl)C=C(Cl)C(OC)=C1O,,train
-3.55,N[S](=O)(=O)C1=CC2=C(SCCC2=O)S1,,train
-3.834,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,,train
-4.6022,S=C=Nc1cccc2ccccc12,,train
-4.4,CC(=O)OC1=CC=C(C=C1)C2=CC=CC=C2,,train
-2.8999,C=CCO[P](=O)(OCC=C)c1ccccc1,,train
-2.55,CCC1OC(=O)c2cc(ccc12)[N+]([O-])=O,,train
-0.4109999,CC(C)C(C)(C)O,,train
-6.495513,CCC(C)(C)c1cc(O)c(cc1O)C(C)(C)CC,,train
-1.5039654,CCCCNCCCC,,train
-1.5071434,CN(C)[P+](CC1CCCCC1)(N(C)C)N(C)C.F[B-](F)(F)F,,train
-3.307,OC(=O)c1cc(I)cc(I)c1O,,train
-1.7997285,CC(C)(O)C1CCC(C)(O1)C=C,,train
-3.0299,OC/1=CC(=O)C=CC1=N/Nc2ccccc2,,train
-7.9806714,CCCC(c1cc(c(O)cc1C)C(C)(C)C)c2cc(c(O)cc2C)C(C)(C)C,,train
-1.3301,CC(C)C[C@@H](NC(C)=O)C(O)=O,,train
-2.6783,Cc1cnnc2c(O)cccc12,,train
-1.3015,OC(=O)CC[C@H](NCCC#N)C(O)=O,,train
-0.25920022,Nc1ccc(c2cc(ccc12)[S](O)(=O)=O)[S](O)(=O)=O,,train
-4.62,CC(C)OC(=O)C1(CCCCC1)[S](=O)(=O)C2=CC=C(C)C=C2,,train
-3.11,CC(C)CN1C=CC(=NC1=O)N[S](=O)(=O)C2=CC=C(N)C=C2,,train
0.07890021,CC(O)C([N+]([O-])=O)[N+]([O-])=O,,train
-2.7852566,CC(C)c1ccc(C=O)cc1,,train
-2.35,CCCCCCCCNC(=O)OCC1OC(O)C(O)C(O)C1O,,train
-3.73,CNN1C=C(C(O)=O)C(=O)C2=C1C=C(N3CCN(C)CC3)C(=C2)F,,train
-0.95300007,NC(=O)c1ccccc1,,train
-0.97748816,CN(C)C1CCCCC1,,train
-1.3999999,NC1=CC=C(S(=O)(=O)NC(CO)(CO)CO)C=C1,,train
-6.2793956,[O-]C(=O)C1=Cc2ccccc2/C(=N/Nc3ccc4ccccc4c3[S]([O-])(=O)=O)C1=O,,train
-5.613,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,,train
-2.7308,OC(=O)c1ccccc1I,,train
-0.63409984,CCN(CC)C(=O)N(CC)CC,,train
-0.19819988,CN(C(C)=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)NC2[C@@H](O)OC(CO)[C@@H](O)C2O)c1I,,train
0.36,C1=CC(=O)N2CC(C3)CNCC3C2=C1,,train
-0.7327999,CC(C)CC(NC=O)C(O)=O,,train
-3.0557,CCCOc1ccc(NC(C)=O)cc1,,train
0.65,CCOC(=O)N1CC(C)NCC1C,,train
-2.6600258,CC(CCO)CCc1ccccc1,,train
-1.5520409,CC(=O)CCc1ccc(O)cc1,,train
-5.6281,CCc1ccc(cc1)C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C,,train
-3.85,O=C(NC1=CN=NS1)NC2=CC=CC=C2,,train
-5.7787,C[C@@H]/1CC(=C/CC2C[C@@H](C[C@]3(CC[C@H](C)C(C)O3)O2)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=C\C=C1)/[C@@]45O)/C,,train
-4.576,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,,train
-6.073535,CC(C)C(=O)OC[C@H]1O[C@@](COC(C)=O)(O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(=O)C(C)C)[C@H](OC(=O)C(C)C)[C@H]2OC(=O)C(C)C)[C@@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C,,train
-2.08,COC1=C(OC)C2=C(COC2=O)C(N)=C1,,train
-1.67,CCOC(=O)CN(C)C(=O)COC(=O)C1=CC=CC=C1,,train
-1.4438,F[P-](F)(F)(F)(F)F.N#[N+]c1ccccc1,,train
-1.5337,OC(=O)CC(N(CCC#N)CCC#N)C(O)=O,,train
-3.9244092,CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,,train
-4.708654,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)C=C,,train
-6.8946,Cn1nc(C)c(C(=O)c2ccc(Cl)cc2Cl)c1O[S](=O)(=O)c3ccc(C)cc3,,train
-0.6049999,C\C(Cl)=C/C(O)=O,,train
-1.9,ClC(Br)Br,,train
-4.0445,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n2ccnc2,,train
-1.127,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2,,train
-2.46,CCCC=C(CC)C=O,,train
